"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
2,"",4,3,5,2,4,2,4,4,4,2,4,4,2,1,5,"",185,24,1,2,"Hungarian",3,"",273,2,"",1,NA,"",NA,4,4,4,3,4,3,4,3,4,3,2,3
1,"",3,1,3,1,1,1,1,4,2,5,5,5,2,2,7,"Health",185,42,2,1,"",3,"",578,1,"",1,NA,"",NA,4,1,2,1,1,1,5,5,5,5,5,5
1,"",2,2,2,1,1,1,4,4,5,3,5,3,2,1,1,"",185,48,1,1,"",2,"",7883,1,"",1,NA,"",NA,4,4,4,1,1,1,4,5,5,4,5,2
2,"",4,1,1,3,2,2,2,2,2,5,5,5,2,1,4,"",185,42,2,1,"",6,"DipHE",1492,2,"",1,NA,"",NA,2,1,1,2,1,1,1,3,2,5,5,5
2,"",3,1,1,1,1,1,3,2,4,5,5,5,2,1,7,"Events",185,36,2,1,"",2,"",2677,1,"",1,NA,"",NA,3,1,2,2,2,1,2,2,1,5,4,4
1,"",4,2,3,1,2,1,4,5,4,5,5,5,2,1,4,"",185,57,2,1,"",2,"",1216,1,"",1,NA,"",NA,4,2,2,1,1,1,4,5,5,5,5,5
1,"",2,1,1,1,1,1,3,2,2,5,5,4,2,1,3,"",185,37,2,1,"",4,"",1157,1,"",1,NA,"",NA,2,1,2,2,5,2,1,1,1,5,5,4
1,"",4,4,4,2,1,1,2,2,2,4,4,4,2,1,1,"",185,26,1,1,"",4,"",335,1,"",1,NA,"",NA,4,3,4,4,2,2,2,2,2,4,4,4
2,"",3,1,1,1,1,1,4,3,4,5,5,4,2,1,2,"",185,28,2,1,"",4,"",243,2,"",1,NA,"",NA,4,1,1,1,1,1,5,3,4,5,5,5
1,"",1,1,1,1,1,1,4,4,4,5,5,4,2,1,7,"Marketing",185,36,2,1,"",2,"",2800,1,"",1,NA,"",NA,3,1,2,1,1,1,5,5,5,5,5,4
1,"",5,5,5,1,1,1,5,2,4,5,5,5,2,1,4,"",185,22,2,2,"Polish",4,"",212,1,"",1,NA,"",NA,5,5,5,3,2,1,4,2,5,5,5,5
1,"",3,2,4,1,1,1,5,4,4,5,5,4,2,2,7,"personal services, photography",185,34,2,1,"",4,"",3014,1,"",1,NA,"",NA,4,3,4,1,1,1,5,5,5,4,4,4
2,"",1,1,1,1,1,1,2,4,2,4,4,3,2,1,4,"",185,57,2,1,"",2,"",731,2,"",1,NA,"",NA,5,2,4,3,1,1,5,5,5,2,4,2
2,"",4,2,2,2,2,1,4,4,4,4,4,4,2,1,1,"",185,37,2,1,"",4,"",1492,1,"",1,NA,"",NA,4,2,3,2,2,2,4,4,4,4,4,4
1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,1,"",185,38,2,1,"",3,"",2284,1,"",1,NA,"",NA,4,1,1,1,1,1,5,5,5,5,5,5
1,"",4,4,5,4,2,2,3,4,4,5,5,5,2,1,1,"",185,53,1,1,"",2,"",4291,1,"",1,NA,"",NA,5,5,5,4,3,3,3,5,5,5,5,4
1,"",2,2,3,2,1,1,2,2,3,4,5,4,2,2,4,"",185,30,2,1,"",4,"",426,1,"",1,NA,"",NA,5,4,4,5,4,4,2,2,4,3,4,4
1,"",4,2,3,2,2,2,4,5,5,4,5,4,2,1,1,"",185,44,2,1,"",4,"",7822,1,"",1,NA,"",NA,4,2,4,2,3,3,4,5,5,4,5,4
1,"",4,2,3,4,1,1,5,3,2,5,3,4,2,1,4,"",185,37,2,1,"",4,"",273,1,"",1,NA,"",NA,4,4,5,3,2,2,2,3,3,2,2,2
2,"",4,4,5,2,2,2,4,3,3,5,5,4,2,1,2,"",185,53,2,1,"",4,"",2677,1,"",1,NA,"",NA,5,5,5,4,3,3,4,4,4,4,4,4
