"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond"
2021-05-05 20:44:50,"51.6056060791015625","0.0124053955078125","EN",1,"",23.755,NA,3,1,1,3,1,1,9,4,1,1,4,"",185,40,2,3,"",1
2021-05-05 20:44:53,"52.6334075927734375","-1.9329071044921875","EN",1,"",NA,34.132,5,5,5,5,5,5,3,7,1,1,1,"",185,7,1,3,"",2
2021-05-05 20:45:28,"55.399505615234375","-1.5928955078125","EN",1,"",43.926,NA,1,1,1,1,1,1,6,6,1,2,4,"",185,23,2,4,"",1
2021-05-05 20:45:38,"53.4971923828125","-1.1808013916015625","EN",1,"",NA,23.741,4,4,5,1,2,1,14,2,1,1,1,"",185,16,1,4,"",2
2021-05-05 20:45:44,"51.5063934326171875","-0.0200042724609375","EN",2,"",20.975,NA,3,1,1,1,1,1,3,7,1,1,1,"",185,NA,1,4,"",1
2021-05-05 20:46:00,"51.523895263671875","0.5764007568359375","EN",1,"",22.164,NA,2,1,1,1,1,1,11,5,1,1,7,"entertainment",185,39,1,2,"",1
2021-05-05 20:46:30,"52.460601806640625","-1.923797607421875","EN",1,"",NA,22.319,4,4,5,3,2,2,2,1,1,1,4,"",185,5,2,4,"",2
2021-05-05 20:46:47,"53.3553009033203125","-1.56329345703125","EN",1,"",NA,40.717,5,5,5,4,4,4,11,4,1,2,7,"Services",185,16,1,4,"",2
2021-05-05 20:47:00,"52.3325042724609375","-0.1844024658203125","EN",1,"",22.003,NA,2,1,1,1,2,2,5,5,1,1,4,"",185,23,2,3,"",1
2021-05-05 20:47:10,"50.9468994140625","-1.41119384765625","EN",1,"",184.356,NA,2,1,1,1,1,1,7,2,1,1,3,"",185,33,2,4,"",1
2021-05-05 20:47:16,"53.4994049072265625","-2.2433013916015625","EN",2,"",25.69,NA,3,1,2,1,1,1,8,6,1,1,7,"art",185,16,2,5,"",1
