"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1year_1","T1month_1","T1found","T1employees","T1coown","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T2_occ","T2_occ_3_TEXT","T2_quitfinstrain","T2_quitfinstrain_3_TEXT","T2_finstrain_1","T2_finstrain_2","T2_finstrain_3","T2_quitint_1","T2_quitint_2","T2_quitint_3","T2_concom_1","T2_concom_2","T2_concom_3","T2_affcom_1","T2_affcom_2","T2_affcom_3","T1timebuiss"
1,"",3,2,2,1,2,1,3,3,3,4,5,4,10,4,1,1,2,1,"",4,"",2,"",NA,"",2,2,2,2,2,2,3,4,3,4,4,4,3348
1,"",1,1,1,1,1,1,1,2,1,5,5,5,13,11,1,2,1,1,"",4,"",1,"",NA,"",2,1,1,1,4,1,2,2,2,4,4,3,4230
1,"",3,2,2,1,1,1,3,3,3,5,5,4,7,10,1,2,1,1,"",4,"",1,"",NA,"",3,3,4,3,3,3,3,3,3,3,3,3,2070
2,"",3,1,2,2,2,1,2,3,2,3,5,4,32,10,1,2,1,1,"",4,"",1,"",NA,"",2,4,4,2,2,2,5,5,5,3,5,4,11201
1,"",2,4,4,2,1,1,4,5,5,4,5,4,9,8,2,1,2,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2861
1,"",5,4,5,1,1,1,5,5,5,2,2,3,14,9,1,2,1,2,"TURKISH",6,"MASTERS DEGREE",2,"",NA,"",4,5,5,2,3,3,3,3,5,3,2,2,4656
1,"",3,3,4,1,2,1,4,4,3,4,4,3,37,5,1,2,1,1,"",3,"",1,"",NA,"",5,4,4,1,2,2,3,2,4,5,5,4,13180
1,"",2,1,1,1,1,1,2,2,4,5,5,4,14,6,1,2,1,1,"",4,"",1,"",NA,"",4,2,4,4,2,2,4,5,4,4,4,3,4748
1,"",4,2,3,1,1,1,5,5,5,5,5,5,5,11,1,2,1,2,"Swedish",4,"",3,"Employed",3,"I was offered employment in the same field",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1308
1,"",3,2,3,1,1,1,5,5,5,5,5,5,3,2,1,2,1,1,"",4,"",1,"",NA,"",2,2,2,2,2,2,4,4,4,5,5,5,851
1,"",1,1,1,2,2,1,2,1,5,5,3,5,4,5,1,2,1,1,"",4,"",1,"",NA,"",4,1,2,3,3,2,1,1,1,4,5,2,1127
1,"",3,4,4,1,1,1,5,5,5,5,5,5,5,8,1,2,1,1,"",4,"",1,"",NA,"",4,4,4,3,1,1,5,5,5,5,5,4,1400
1,"",4,4,4,1,1,1,4,4,5,4,5,4,7,11,1,1,1,1,"",4,"",1,"",NA,"",4,4,4,2,1,1,5,5,5,4,4,4,2039
1,"",4,4,5,2,2,1,4,4,3,4,5,3,24,1,1,2,1,1,"",4,"",1,"",NA,"",4,3,4,4,4,1,2,3,2,4,4,3,8552
2,"",3,4,4,1,1,1,4,3,4,5,5,5,4,9,1,2,1,2,"Greek",4,"",2,"",NA,"",2,2,2,1,2,1,5,2,4,5,5,5,1004
3,"Employed",1,1,4,1,1,1,1,1,1,3,5,3,8,4,1,1,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2618
2,"",5,2,4,4,4,2,2,4,5,4,1,4,2,3,1,2,1,1,"",4,"",2,"",NA,"",5,4,4,4,3,2,2,4,4,4,4,2,457
1,"",5,4,4,1,1,1,4,4,3,2,5,4,1,4,1,2,1,1,"",4,"",1,"",NA,"",4,4,5,2,2,2,4,4,2,3,4,3,61
1,"",5,5,5,1,2,1,4,4,5,3,4,4,4,8,1,2,1,1,"",4,"",1,"",NA,"",5,5,5,2,2,2,4,2,5,4,5,4,1035
2,"",4,4,2,4,4,4,2,2,2,4,4,4,6,5,1,2,1,NA,"",NA,"",2,"",1,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857
3,"Employee",2,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"",3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,"Employed",2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
