"T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1year_1","T1month_1","T1found","T1employees","T1coown","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T2_occ","T2_occ_3_TEXT","T2_quitfinstrain","T2_quitfinstrain_3_TEXT","T2_finstrain_1","T2_finstrain_2","T2_finstrain_3","T2_quitint_1","T2_quitint_2","T2_quitint_3","T2_concom_1","T2_concom_2","T2_concom_3","T2_affcom_1","T2_affcom_2","T2_affcom_3","T1timebuiss"
2,"",3,2,2,2,3,3,3,3,3,4,4,4,7,8,1,2,1,1,"",4,"",2,"",NA,"",3,1,1,1,1,1,3,3,3,3,3,3,2131
1,"",3,4,4,4,2,1,4,3,3,4,4,4,5,9,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1369
1,"",4,5,5,5,3,4,4,5,5,5,4,4,13,9,1,1,1,1,"",3,"",3,"employee",2,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4291
1,"",4,5,5,3,3,2,4,4,4,3,4,3,24,4,1,2,1,1,"",6,"Masters degree",1,"",NA,"",5,5,5,4,3,2,3,4,3,3,3,3,8462
1,"",2,2,4,1,1,1,4,5,5,5,5,2,3,3,1,2,1,1,"",2,"",1,"",NA,"",2,2,4,2,1,1,4,5,4,3,4,4,823
2,"",2,1,2,1,4,1,2,5,4,4,5,4,6,5,1,2,1,2,"Hungarian",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1857
1,"",2,2,2,1,1,1,5,5,5,4,4,5,6,11,1,1,2,1,"",2,"",1,"",NA,"",3,3,3,3,2,2,4,5,5,4,4,4,1673
1,"",4,3,4,2,2,1,4,2,4,1,5,4,6,10,1,2,1,1,"",3,"",1,"",NA,"",4,2,2,2,2,2,4,2,4,4,5,3,1704
2,"",3,2,2,1,1,1,5,5,5,5,4,5,5,5,1,1,1,1,"",4,"",2,"",NA,"",4,2,4,1,1,1,5,5,5,4,4,5,1492
2,"",1,1,1,1,1,1,3,4,4,5,5,5,21,1,1,2,1,1,"",4,"",2,"",NA,"",4,1,2,2,2,1,4,4,5,5,5,5,7456
2,"",4,1,1,1,1,1,2,4,4,3,4,2,12,5,1,2,1,1,"",2,"",2,"",NA,"",2,1,2,1,3,1,3,1,1,4,4,4,4049
2,"",3,1,2,4,2,1,5,4,4,3,5,3,2,11,1,2,1,1,"",2,"",2,"",NA,"",3,2,4,1,2,1,2,4,4,4,5,4,212
3,"Employee",4,2,2,4,1,1,4,4,4,4,4,4,1,4,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,61
1,"",4,1,1,1,1,1,4,4,4,5,5,4,4,1,1,1,2,1,"",4,"",1,"",NA,"",4,2,2,1,1,1,4,4,4,5,5,5,1247
1,"",4,2,2,3,2,1,4,3,4,4,5,4,2,4,1,2,1,1,"",3,"",1,"",NA,"",3,3,3,4,3,2,4,3,4,4,4,2,426
1,"",4,2,3,3,2,1,4,4,4,4,4,3,12,3,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4110
1,"",4,3,4,2,1,1,2,2,2,5,5,4,2,10,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,243
3,"employed full time",4,2,2,1,2,3,3,3,4,3,2,3,7,5,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2223
2,"",3,3,3,2,1,1,2,4,3,4,4,4,2,5,1,2,1,1,"",4,"",1,"",NA,"",3,3,4,3,2,1,3,4,4,4,4,4,396
1,"",4,4,4,4,4,4,4,4,4,4,4,3,3,6,1,2,1,1,"",4,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,731
1,"",5,3,4,4,1,1,3,4,4,3,4,3,3,8,1,2,1,1,"",3,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,670
1,"",4,2,3,3,2,2,2,3,4,4,4,4,5,3,1,2,1,1,"",3,"",1,"",NA,"",4,2,2,2,2,2,4,3,4,4,4,4,1553
1,"",2,2,1,1,2,1,4,3,2,4,5,5,10,9,1,2,1,2,"Greek",4,"",1,"",NA,"",2,1,1,1,1,1,5,5,5,5,5,4,3195
