"RecordedDate","LocationLatitude","LocationLongitude","UserLanguage","occ","occ_3_TEXT","Q52_Page_Submit","Q53_Page_Submit","mani_1","mani_2","mani_3","quit_1","quit_2","quit_3","finsit_1","finsit_2","year_1","month_1","found","coown","indu","indu_7_TEXT","locat","age_1","gender","edu","edu_6_TEXT","exp_cond","year","month","t1timebuiss","ID"
2021-05-05,"52.95379638671875","-1.1571044921875","EN",2,"",42.918,NA,2,1,1,1,1,2,4,4,3,10,1,1,4,"",185,2,2,2,"",1,2019,"Oct",582,94
2021-05-05,"52.2834930419921875","-0.8950958251953125","EN",2,"",NA,24.669,2,5,5,5,4,5,1,1,3,8,1,1,2,"",185,16,2,4,"",2,2019,"Aug",643,95
2021-05-05,"51.4770050048828125","-0.1959075927734375","EN",1,"",NA,22.173,5,5,5,3,3,3,2,2,16,4,1,1,3,"",185,33,2,4,"",2,2006,"Apr",5513,96
2021-05-05,"51.5095062255859375","-0.0955047607421875","EN",2,"",20.709,NA,4,1,1,1,1,1,2,1,3,1,1,1,1,"",185,5,2,4,"",1,2019,"Jan",855,97
2021-05-05,"52.61810302734375","-1.1804046630859375","EN",2,"",NA,22.601,5,5,5,5,4,3,2,4,7,4,1,1,3,"",185,13,2,4,"",2,2015,"Apr",2226,98
2021-05-05,"58.22479248046875","26.4156036376953125","EN",1,"",21.409,NA,2,1,1,1,1,1,5,4,7,9,1,1,1,"",57,21,1,3,"",1,2015,"Sep",2073,99
2021-05-05,"52.58740234375","-2.13800048828125","EN",1,"",NA,26.453,5,5,5,5,5,4,4,5,4,1,1,1,7,"Entertainment and Sales",185,6,2,3,"",2,2018,"Jan",1220,100
2021-05-05,"54.931304931640625","-1.5854949951171875","EN",1,"",23.092,NA,1,1,1,2,1,1,4,4,8,6,1,1,1,"",185,22,1,5,"",1,2014,"Jun",2530,101
2021-05-05,"51.6056060791015625","0.0124053955078125","EN",1,"",23.755,NA,3,1,1,3,1,1,4,5,9,4,1,1,4,"",185,40,2,3,"",1,2013,"Apr",2956,102
2021-05-05,"52.6334075927734375","-1.9329071044921875","EN",1,"",NA,34.132,5,5,5,5,5,5,3,4,3,7,1,1,1,"",185,7,1,3,"",2,2019,"Jul",674,103
2021-05-05,"55.399505615234375","-1.5928955078125","EN",1,"",43.926,NA,1,1,1,1,1,1,4,5,6,6,1,2,4,"",185,23,2,4,"",1,2016,"Jun",1799,104
2021-05-05,"53.4971923828125","-1.1808013916015625","EN",1,"",NA,23.741,4,4,5,1,2,1,2,4,14,2,1,1,1,"",185,16,1,4,"",2,2008,"Feb",4842,105
2021-05-05,"51.523895263671875","0.5764007568359375","EN",1,"",22.164,NA,2,1,1,1,1,1,2,4,11,5,1,1,7,"entertainment",185,39,1,2,"",1,2011,"May",3657,107
2021-05-05,"52.460601806640625","-1.923797607421875","EN",1,"",NA,22.319,4,4,5,3,2,2,2,3,2,1,1,1,4,"",185,5,2,4,"",2,2020,"Jan",490,108
2021-05-05,"53.3553009033203125","-1.56329345703125","EN",1,"",NA,40.717,5,5,5,4,4,4,2,4,11,4,1,2,7,"Services",185,16,1,4,"",2,2011,"Apr",3687,109
2021-05-05,"52.3325042724609375","-0.1844024658203125","EN",1,"",22.003,NA,2,1,1,1,2,2,2,3,5,5,1,1,4,"",185,23,2,3,"",1,2017,"May",1465,110
