"T1ID","T1occ","T1occ_3_TEXT","T1finstrain_1","T1finstrain_2","T1finstrain_3","T1quitint_1","T1quitint_2","T1quitint_3","T1concom_1","T1concom_2","T1concom_3","T1affcom_1","T1affcom_2","T1affcom_3","T1employees","T1coown","T1indu","T1indu_7_TEXT","T1locat","T1age_1","T1gender","T1lang","T1lang_2_TEXT","T1edu","T1edu_6_TEXT","T1PROLIFIC_PID","ID","T1timebuiss","T2occ","T2occ_3_TEXT","T2quit","T2quitfinstrain","T2quitfinstrain_3_TEXT","T2currententre","T2finstrain_1","T2finstrain_2","T2finstrain_3","T2quitint_1","T2quitint_2","T2quitint_3","T2concom_1","T2concom_2","T2concom_3","T2affcom_1","T2affcom_2","T2affcom_3"
"5fcc9ac5f05d9407efcbb852",1,"",4,4,5,4,4,4,4,2,5,2,3,3,2,1,7,"Maintenance",185,40,1,1,"",3,"","5fcc9ac5f05d9407efcbb852",244,2192,2,"",1,NA,"",NA,4,4,4,4,1,1,5,4,5,2,2,2
"60b93dbc8ff56ba91e07c174",1,"",4,1,1,1,1,1,1,4,2,2,4,2,2,1,4,"",185,55,2,1,"",4,"","60b93dbc8ff56ba91e07c174",245,457,1,"",1,NA,"",NA,2,1,1,1,1,1,1,4,5,3,5,3
"60b781b3e731a3ac2c60949e",1,"",4,2,4,2,1,1,3,1,2,5,5,5,1,2,7,"Entertainment and events",185,34,1,1,"",2,"","60b781b3e731a3ac2c60949e",246,2618,1,"",1,NA,"",NA,4,3,3,2,1,1,3,4,2,5,5,4
"5f9ac21781712420577377a3",2,"",5,4,5,2,3,2,4,5,4,4,3,4,2,1,4,"",185,41,1,1,"",4,"","5f9ac21781712420577377a3",248,517,1,"",1,NA,"",NA,5,4,5,2,2,1,5,4,5,4,3,4
"60b92600f63b7181a71b0555",2,"",4,4,4,2,2,5,1,1,3,5,5,5,2,1,7,"Design",185,26,2,1,"",4,"","60b92600f63b7181a71b0555",250,3073,1,"",1,NA,"",NA,5,4,5,3,2,4,1,1,4,4,4,3
"588c78b3670d6600012bd769",1,"",5,2,4,4,4,4,4,4,4,4,2,3,1,2,1,"",185,52,2,1,"",5,"","588c78b3670d6600012bd769",252,4018,1,"",1,NA,"",NA,5,3,4,4,4,3,3,4,4,3,3,3
"5fa83d9a582cca6829c0a293",1,"",3,4,4,4,3,3,1,1,3,4,5,2,2,1,7,"Food",185,24,2,1,"",4,"","5fa83d9a582cca6829c0a293",253,273,1,"",1,NA,"",NA,2,3,3,4,4,4,1,1,2,4,5,4
"5e31717aed5a2b15fc306461",1,"",4,2,2,2,2,2,2,3,3,4,5,4,2,1,4,"",185,50,2,1,"",4,"","5e31717aed5a2b15fc306461",254,5752,1,"",1,NA,"",NA,4,2,2,1,1,1,2,4,4,4,5,4
"609408e1ef7e7d611c5a06ac",1,"",4,4,3,1,1,1,5,5,5,5,5,5,1,1,2,"",185,37,1,1,"",3,"","609408e1ef7e7d611c5a06ac",255,304,2,"",1,NA,"",NA,5,4,4,2,3,1,5,5,5,5,3,5
"5c3f18cf105d550001417ef0",1,"",4,4,4,1,1,1,5,4,4,5,5,4,2,1,6,"",185,57,1,1,"",2,"","5c3f18cf105d550001417ef0",256,5540,1,"",1,NA,"",NA,4,2,4,1,1,1,5,4,4,4,5,3
"5fc2c5785af10c50f14a46f6",1,"",2,1,2,1,1,1,5,5,5,5,5,5,1,1,7,"legal",185,57,2,1,"",4,"","5fc2c5785af10c50f14a46f6",259,7578,1,"",1,NA,"",NA,4,1,2,1,1,1,5,5,5,5,5,5
"5e98ccf370194e0f49a1333b",2,"",4,2,3,2,2,1,4,4,4,5,5,5,1,1,7,"law",185,51,1,1,"",4,"","5e98ccf370194e0f49a1333b",260,9009,1,"",1,NA,"",NA,4,2,4,2,2,1,4,4,5,5,5,4
"5e3810e4b575a301801eff16",1,"",4,4,4,2,1,1,4,4,5,4,4,4,2,1,7,"Art and Design",185,42,2,1,"",4,"","5e3810e4b575a301801eff16",263,2039,1,"",1,NA,"",NA,4,2,3,2,2,2,4,4,4,4,4,4
"5ef1bb10c673fd7d2d14e439",2,"",5,4,4,4,2,1,4,5,5,2,4,2,2,1,7,"Arts",185,38,2,1,"",4,"","5ef1bb10c673fd7d2d14e439",264,2435,2,"",1,NA,"",NA,5,4,5,5,3,3,4,5,5,4,4,1
"5e779000d2c7152f7f209b75",2,"",4,4,5,4,2,2,3,4,4,4,4,4,2,1,7,"Photography",185,40,2,1,"",4,"","5e779000d2c7152f7f209b75",267,2131,2,"",1,NA,"",NA,4,4,4,4,2,2,2,4,4,3,4,4
"60ba8ffcb1b08eb8b592b519",1,"",4,1,2,1,2,1,1,1,1,5,5,4,2,1,6,"",185,37,1,1,"",3,"","60ba8ffcb1b08eb8b592b519",268,1066,1,"",1,NA,"",NA,4,2,2,1,1,1,2,2,2,5,5,4
"5e0fd52b7bf5726e3699d2df",1,"",2,1,2,4,4,2,4,4,5,5,5,4,2,1,4,"",185,37,2,1,"",4,"","5e0fd52b7bf5726e3699d2df",269,1157,1,"",1,NA,"",NA,4,2,2,3,2,2,2,4,5,4,4,5
"5e6fe29ad2723d5b0a04bb69",2,"",4,4,4,2,2,2,5,4,5,4,5,4,1,1,7,"Arts and crafts",185,23,2,1,"",4,"","5e6fe29ad2723d5b0a04bb69",272,1096,2,"",1,NA,"",NA,5,4,4,2,2,1,5,5,5,4,4,4
"55d07cce34e906000ae56427",1,"",2,1,1,4,4,4,1,4,4,4,5,4,2,1,7,"taxi",185,56,1,1,"",4,"","55d07cce34e906000ae56427",273,1857,1,"",1,NA,"",NA,2,2,2,4,4,4,2,5,5,5,5,4
"5bfe0d18e373c90001b57c71",1,"",5,2,5,2,1,1,5,3,5,4,5,3,2,1,7,"Graphic Design",185,56,2,1,"",4,"","5bfe0d18e373c90001b57c71",275,5479,1,"",1,NA,"",NA,5,5,5,3,1,1,3,2,2,4,5,2
"5c34861eec9d85000182c40c",1,"",4,2,2,1,1,1,4,4,3,4,5,4,2,1,4,"",185,67,2,1,"",2,"","5c34861eec9d85000182c40c",277,3073,1,"",1,NA,"",NA,4,2,2,1,2,1,4,5,4,5,5,4
"5ca1f7ca51673e0016843676",1,"",4,4,5,1,1,1,5,5,5,3,4,3,2,1,4,"",185,46,2,1,"",4,"","5ca1f7ca51673e0016843676",279,6483,1,"",1,NA,"",NA,4,4,5,2,1,1,5,3,3,2,4,3
"5d59991ea174350019405d9c",1,"",5,5,5,5,3,3,3,3,5,3,3,3,2,1,4,"",185,48,1,1,"",4,"","5d59991ea174350019405d9c",280,2800,1,"",1,NA,"",NA,5,5,5,1,1,1,3,3,4,4,4,3
"588780269c4f3f00010f0e5c",1,"",2,1,1,1,3,2,2,3,2,4,4,3,2,1,5,"",185,68,1,1,"",4,"","588780269c4f3f00010f0e5c",281,1522,1,"",1,NA,"",NA,2,1,1,3,3,1,2,4,3,3,4,3
"5f2c2b2e4d46190913d07955",2,"",2,4,3,2,1,1,2,3,3,2,4,3,2,1,3,"",185,62,2,1,"",4,"","5f2c2b2e4d46190913d07955",282,4018,2,"",1,NA,"",NA,3,3,4,4,3,1,2,3,3,3,5,3
"5c99e6372fd6f10015547681",1,"",3,3,4,2,2,2,4,4,4,4,4,4,2,1,6,"",185,52,1,2,"Welsh",3,"","5c99e6372fd6f10015547681",284,11992,1,"",1,NA,"",NA,4,2,3,2,2,3,4,5,5,4,4,3
"5ed6cce1cd4ef9015c935786",1,"",4,1,2,1,1,1,5,5,5,5,5,5,2,1,3,"",185,32,2,1,"",4,"","5ed6cce1cd4ef9015c935786",285,1339,1,"",1,NA,"",NA,2,1,3,1,1,1,5,5,5,5,5,5
"5fdf36fca4feb073b76da5e9",1,"",4,3,3,1,1,1,5,4,5,5,5,5,1,2,7,"Entertainment",185,39,1,1,"",4,"","5fdf36fca4feb073b76da5e9",286,4534,1,"",1,NA,"",NA,4,3,4,3,2,1,5,2,5,5,5,5
"5aafd9eff69e940001d88bf4",1,"",5,5,5,5,5,1,4,5,5,3,4,3,2,1,7,"Design/luxury items",185,55,2,1,"",4,"","5aafd9eff69e940001d88bf4",288,4414,1,"",1,NA,"",NA,5,5,5,4,3,2,4,5,5,3,2,2
"571b3de05d40840013c49f3a",1,"",4,4,5,1,1,1,2,2,3,5,4,4,2,1,7,"creative arts",185,32,2,1,"",4,"","571b3de05d40840013c49f3a",289,609,1,"",1,NA,"",NA,5,4,4,2,2,1,2,4,4,4,5,5
"606f4b2401884c3f37ba85c5",1,"",5,1,1,1,1,1,5,5,5,5,5,4,2,1,2,"",185,48,1,1,"",5,"","606f4b2401884c3f37ba85c5",290,3957,1,"",1,NA,"",NA,4,1,3,2,1,1,4,4,4,5,5,4
"5c152ee06d1ac9000102b1cb",1,"",4,3,4,4,2,2,5,4,5,2,3,2,2,1,7,"Teaching sewing, alterations, dressmaking,  sewing",185,48,2,1,"",3,"","5c152ee06d1ac9000102b1cb",291,1492,1,"",1,NA,"",NA,5,2,5,2,4,2,1,5,5,2,4,2
